tokenId;minRarity;averageRarity;sumRarity;countsBelow10;countsBelow20;countsBelow50;spots;countsOld;countsMystic;countsNew;ranking
2015;7;69;414;1;2;2;6;0;2;0;99
7609;7;72,11111111;649;1;2;3;9;0;2;1;100
1246;7;76,88888889;692;2;3;3;9;1;2;0;101
3228;7;78;702;1;2;2;9;0;2;0;102
8688;7;78;780;1;2;2;10;0;2;0;103
5992;8;36,44444444;328;4;5;6;9;3;2;1;104
3223;8;44;220;2;2;3;5;0;2;1;105
3524;8;44;440;2;5;7;10;1;2;4;106
7510;8;44;396;2;4;6;9;2;2;2;107
8784;8;44,875;359;2;4;5;8;1;2;2;108
7672;8;48,5;291;2;3;4;6;1;2;1;109
1095;8;53,5;321;2;3;3;6;1;2;0;110
7341;8;57,66666667;519;2;3;5;9;1;2;2;111
6487;8;59,27272727;652;2;3;5;11;1;2;2;112
3112;8;59,81818182;658;3;4;5;11;1;2;2;113
9043;8;60,44444444;544;2;3;4;9;1;2;1;114
8970;8;61,28571429;429;1;3;3;7;1;2;0;115
7390;8;61,44444444;553;2;3;4;9;1;2;1;116
2091;8;61,54545455;677;2;4;5;11;2;2;1;117
3282;8;61,63636364;678;2;4;5;11;0;2;3;118
1128;8;62,81818182;691;1;2;5;11;1;2;2;119
4622;8;63;441;2;2;3;7;0;2;1;120
7013;8;63,5;635;1;3;4;10;0;2;2;121
1574;8;63,85714286;447;1;2;3;7;0;2;1;122
9512;8;65,25;522;1;3;3;8;1;2;0;123
9415;8;67,4;674;2;4;4;10;0;2;2;124
1119;8;69,9;699;1;3;4;10;1;2;1;125
8413;8;70,22222222;632;1;2;3;9;0;2;1;126
9259;8;73;584;2;3;3;8;1;2;0;127
7308;8;73,3;733;2;3;3;10;1;2;0;128
6575;8;74,33333333;669;2;2;3;9;0;2;1;129
3593;8;74,75;598;1;2;2;8;0;2;0;130
3778;8;76,44444444;688;1;2;2;9;0;2;0;131
1942;8;80,7;807;1;2;2;10;0;2;0;132
3863;9;25,125;201;1;5;7;8;2;2;3;133
1440;9;46,5;372;3;5;5;8;2;2;1;134
8516;9;47,3;473;1;2;6;10;0;2;4;135
5808;9;52,45454545;577;1;4;6;11;2;2;2;136
3118;9;53,375;427;1;3;4;8;0;2;2;137
5852;9;55,27272727;608;1;5;6;11;0;2;4;138
55;9;55,77777778;502;1;4;4;9;1;2;1;139
791;9;55,77777778;502;1;4;4;9;2;2;0;140
5082;9;57,4;574;2;3;5;10;1;2;2;141
9473;9;57,875;463;1;3;4;8;1;2;1;142
9067;9;58,88888889;530;1;4;4;9;0;2;2;143
5013;9;59;590;1;4;5;10;1;2;2;144
3611;9;59,875;479;1;3;3;8;1;2;0;145
4282;9;60,6;606;1;4;4;10;0;2;2;146
2623;9;61,88888889;557;1;2;3;9;0;2;1;147
8111;9;63,36363636;697;1;3;5;11;1;2;2;148
7482;9;65,88888889;593;1;2;3;9;0;2;1;149
3495;9;67;536;2;2;3;8;1;2;0;150
7309;9;67,7;677;2;4;4;10;2;2;0;151
1491;9;68,45454545;753;2;2;4;11;0;2;2;152
1380;9;70,5;564;1;2;3;8;0;2;1;153
90;9;71;710;1;2;3;10;1;2;0;154
9166;9;71,4;714;2;3;3;10;1;2;0;155
1881;9;72,625;581;1;3;3;8;0;2;1;156
5601;9;72,72727273;800;2;2;4;11;0;2;2;157
2523;9;73,2;732;1;2;3;10;1;2;0;158
7664;9;73,4;734;2;2;3;10;0;2;1;159
977;9;74;814;1;2;3;11;1;2;0;160
2588;9;74,90909091;824;1;2;3;11;0;2;1;161
3170;9;75,1;751;1;2;3;10;0;2;1;162
2489;9;75,75;606;2;2;2;8;0;2;0;163
7317;9;76;684;2;2;2;9;0;2;0;164
7642;9;80,63636364;887;1;2;2;11;0;2;0;165
6382;9;83,27272727;916;1;2;2;11;0;2;0;166
1392;10;34,625;277;1;4;6;8;0;2;4;167
1877;10;39,71428571;278;1;4;5;7;2;2;1;168
5117;10;58,85714286;412;1;2;3;7;0;2;1;169
3;10;59,25;237;1;2;2;4;0;2;0;170
9034;10;63,57142857;445;1;2;3;7;0;2;1;171
2840;10;64;448;1;3;3;7;1;2;0;172
6630;10;65,4;327;1;2;2;5;0;2;0;173
862;10;69,66666667;627;1;2;3;9;0;2;1;174
3320;10;70,11111111;631;1;2;3;9;0;2;1;175
1875;10;75,09090909;826;1;3;3;11;1;2;0;176
2494;10;76,18181818;838;1;2;2;11;0;2;0;177
7690;10;77,5;620;1;2;2;8;0;2;0;178
1870;10;81,625;653;1;2;2;8;0;2;0;179
1802;11;62,36363636;686;0;2;5;11;2;2;1;180
2487;11;62,625;501;0;3;3;8;1;2;0;181
1398;11;69,27272727;762;0;2;4;11;1;2;1;182
6449;11;70,44444444;634;0;2;3;9;0;2;1;183
6751;11;72,2;722;0;2;4;10;0;2;2;184
3762;11;72,36363636;796;0;3;3;11;1;2;0;185
8339;11;74,875;599;0;2;2;8;0;2;0;186
8774;11;75,72727273;833;0;2;3;11;0;2;1;187
6531;11;76,125;609;0;2;2;8;0;2;0;188
